Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 266,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0
Cluster 268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0,0
Cluster 269,0,0,0,0,0,0,0,0,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 27,0,0,0,0,0,0,0,0,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 270,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0
Cluster 271,0,0,0,0,0,0,0,0,0,3,0,660,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,0,0,0,0,0,0,0,0
Cluster 273,0,0,0,1366,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Cluster 274,0,0,0,0,34,0,0,0,0,140,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Cluster 275,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 276,0,0,0,4080,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 277,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 278,0,0,0,0,0,0,0,0,0,0,0,0,1538,0,0,0,0,0,0,0,0,0,0,0
Cluster 279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,0,0,0,0,0,0,0,0
Cluster 28,0,0,0,0,1,0,0,0,0,2,0,675,1,0,0,4,0,0,0,0,0,0,0,0
Cluster 280,0,0,0,0,88,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 281,708,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Cluster 282,0,0,0,0,0,0,0,0,0,771,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 283,0,47,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
Cluster 284,0,0,0,0,4,0,0,0,0,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 285,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 286,0,0,0,0,0,0,2251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,0,0,0,0,0
Cluster 288,0,0,0,0,0,0,3680,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436,0,0,0,0,0,0,0,0
Cluster 29,0,0,0,0,2,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 290,0,0,0,0,0,0,8474,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 291,0,0,0,0,2,0,0,0,0,114,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Cluster 292,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 293,0,0,0,0,0,0,4808,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0
Cluster 295,0,0,0,0,0,0,3767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 296,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 297,0,0,0,0,0,0,0,0,0,1,0,0,385,0,0,0,0,0,0,0,0,0,0,0
Cluster 298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,463,0,0,0,0,0
Cluster 299,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 3,0,0,0,6997,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Cluster 30,952,0,0,0,0,0,0,0,0,8,0,0,1,0,0,4,0,0,0,0,0,0,0,0
Cluster 300,0,0,0,0,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
